variantName	covariate	taxon	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	reject	df
chr4_89587189_T_G	variantOnly	s__Methanobrevibacter_smithii	0.845121335567563	1.159798978198924	0.49045701214837506	2.3647311578207324	0.019234850894426912	0.427152605477004	FALSE	161
chr4_89587189_T_G	variantOnly	s__Actinomyces_odontolyticus	0.2485844298131186	0.40622132848834674	0.34248734272922454	1.1860915070648645	0.2373336057211384	0.7609568607186747	FALSE	161
chr4_89587189_T_G	variantOnly	s__Actinomyces_oris	0.10637136706950796	0.2370240379976019	0.23310816973895904	1.0167985028711262	0.310774847547079	0.8132442806221737	FALSE	161
chr4_89587189_T_G	variantOnly	s__Actinomyces_sp_HMSC035G02	0.11894633412129596	0.308713602462497	0.24071771952472576	1.2824714485997235	0.2015207110466613	0.7609568607186747	FALSE	161
chr4_89587189_T_G	variantOnly	s__Actinomyces_sp_ICM47	0.13158162788711275	-0.04348548113061853	0.2558748733902642	-0.16994822725048825	0.8652642153531228	0.9677297145396768	FALSE	161
chr4_89587189_T_G	variantOnly	s__Actinomyces_sp_oral_taxon_181	0.1534278222331467	0.3472773775115743	0.2880368234391339	1.2056700715037525	0.22971366768257012	0.7609568607186747	FALSE	161
chr4_89587189_T_G	variantOnly	s__Varibaculum_cambriense	0.11663851780421315	0.3147364780217708	0.24206955220151824	1.3001902765522477	0.19539398190755808	0.7609568607186747	FALSE	161
chr4_89587189_T_G	variantOnly	s__Bifidobacterium_adolescentis	0.34606960679648857	0.581165579714813	0.455698767444211	1.2753283994474756	0.20403019380321497	0.7609568607186747	FALSE	161
chr4_89587189_T_G	variantOnly	s__Bifidobacterium_animalis	0.14139307162430428	-0.45631675655314546	0.300419097148773	-1.518933918928493	0.13074042533518873	0.7609568607186747	FALSE	161
chr4_89587189_T_G	variantOnly	s__Bifidobacterium_bifidum	0.3483186487896958	-0.6881712052161221	0.47426287313325227	-1.4510332648846593	0.14871621720409448	0.7609568607186747	FALSE	161
chr4_89587189_T_G	variantOnly	s__Bifidobacterium_breve	0.10236375762886397	-0.2066332839995393	0.23111592770666298	-0.894067691698871	0.3726202449934334	0.8276723881238482	FALSE	161
chr4_89587189_T_G	variantOnly	s__Bifidobacterium_dentium	0.27559736563013243	0.30448732504488224	0.4061579109343491	0.7496771990589128	0.4545431828763232	0.8610171908340974	FALSE	161
chr4_89587189_T_G	variantOnly	s__Bifidobacterium_longum	19.887544996640464	-1.1085572665556427	0.6541382620087319	-1.6946834192995806	0.09206884289050231	0.7487756527302711	FALSE	161
chr4_89587189_T_G	variantOnly	s__Bifidobacterium_pseudocatenulatum	0.6171185474125979	0.16493077761976968	0.5325290648451043	0.3097122551756734	0.7571802775443749	0.9258749039790587	FALSE	161
chr4_89587189_T_G	variantOnly	s__Corynebacterium_amycolatum	0.9021821315988602	-0.8441663941409449	0.5199349105278728	-1.6236001411866932	0.10641748754003033	0.7487756527302711	FALSE	161
chr4_89587189_T_G	variantOnly	s__Corynebacterium_aurimucosum	0.16939300450563075	-0.3722544486224848	0.3428443626123026	-1.0857826151379362	0.27919822585615606	0.7915291194924963	FALSE	161
chr4_89587189_T_G	variantOnly	s__Rothia_mucilaginosa	0.504660346397653	0.4140034290105086	0.42413620125302753	0.9761096265478314	0.33047450212445206	0.8181650295314103	FALSE	161
